temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,temp11,temp12,temp13,temp14,temp15,temp16,temp17,temp18,temp19,temp20,temp21,temp22,temp23,temp24,temp25,temp26,temp27,temp28,temp29,temp30,temp31,temp32,temp33,temp34,temp35,temp36,temp37,temp38,temp39,temp40,temp41,temp42,temp43,temp44,temp45,temp46,temp47,temp48
0.249589,-1.11088,-1.14686,-1.45705,-1.49766,0.823716,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2
0.249589,-1.11088,-1.14686,-1.45705,-1.49766,0.823716,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2
0.249589,-1.11088,-1.14686,-1.45705,-1.49766,0.823716,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2
0.249589,-1.11088,-1.14686,-1.45705,-1.49766,0.823716,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2
0.249589,-1.11088,-1.14686,-1.45705,-1.49766,0.823716,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2
0.249589,-1.11088,-1.14686,-1.45705,-1.49766,0.823716,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2
0.249589,-1.11088,-1.14686,-1.45705,-1.49766,0.823716,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2
0.249589,-1.11088,-1.14686,-1.45705,-1.49766,0.823716,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2
0.249589,-1.11088,-1.14686,-1.45705,-1.49766,0.823716,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2
0.249589,-1.11088,-1.14686,-1.45705,-1.49766,0.823716,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2,0,0,-1.2
