0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015182 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015244 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015347 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015433 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015546 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015662 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015765 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015854 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015973 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.016146 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.016262 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.016395 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.016501 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.016614 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01671 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.016842 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.016932 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.017031 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.017287 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.017459 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.017599 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.017761 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.017871 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.017986 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018085 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018204 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018325 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018431 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018548 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018678 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018794 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018924 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01903 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.019137 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.019227 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.019342 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.019491 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.019604 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.020077 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.020253 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02034 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.020456 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.020573 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.020691 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.020799 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.020916 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021129 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02134 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021466 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021589 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021722 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02185 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021948 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.022066 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.022188 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.022308 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.022417 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.022534 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02271 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.024988 
2.16355e-05 -1.57078 -2.03125e-05 -1.57077 8.80841e-06 -2.37884e-05 0 0 0 0 0 0 0 0 0 0 0 0 0.025229 
2.16355e-05 -1.57078 -2.03125e-05 -1.57077 8.80841e-06 -2.37884e-05 0 0 0 0 0 0 0 0 0 0 0 0 0.025483 
2.16355e-05 -1.57078 -2.03125e-05 -1.57077 8.80841e-06 -2.37884e-05 0 0 0 0 0 0 0 0 0 0 0 0 0.025673 
